player,team,position,salary,origin,origin_evidence,reliability,included_in_market_calibration,notes
Garrett Wilson,Sam,WR,21.0,FRANCHISE_TAG,is_tagged_2025=True (confirmed +$5 franchise-tag escalation delta),0.4,False,tagged 2025
Austin Ekeler,Sam,RB,34.0,UNKNOWN,"$34, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
CJ Stroud,Sam,QB,16.0,UNKNOWN,"$16, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
David Montgomery,Sam,RB,35.0,UNKNOWN,"$35, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Travis Kelce,Sam,TE,36.0,UNKNOWN,"$36, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
DJ Moore,Sam,WR,75.0,UNKNOWN,"$75, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Deebo Samuel,Sam,WR,53.0,UNKNOWN,"$53, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jaylen Waddle,Sam,WR,77.0,UNKNOWN,"$77, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Cooper Kupp,Sam,WR,55.0,UNKNOWN,"$55, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Tyjae Spears,Sam,RB,3.0,UNKNOWN,"$3, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jaxson Dart,Sam,QB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Zach Ertz,Sam,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Will Shipley,Sam,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Michael Carter,Sam,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
JJ McCarthy,Sam,QB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
