team,keeper_spend,formula_budget,cash_sent,cash_received,conversion_fees,calculated_budget,sheet_budget,authoritative_budget,difference,source,status,reported_team_budgets_scenario,formula_reconciled_budgets_scenario,notes
Brad,119.0,281.0,0.0,0.0,0.0,281.0,281,281,0.0,google_sheet_reported_budget_column,RESOLVED,281,281.0,
Brandon,221.0,179.0,0.0,15.0,0.0,194.0,184,184,-10.0,google_sheet_reported_budget_column,UNRESOLVED_GAP,184,194.0,"Received the confirmed +$15 from the Sam/Brandon Skattebo trade (USER_CONFIRMED_TRADE, phase 3A -- supersedes phase 2B's unconfirmed INFERRED_FROM_SKATTEBO_HISTORY hypothesis). formula_reconciled_budgets_scenario (194) now includes this credit; it does NOT close the gap to the sheet's reported 184 -- either the sheet was captured before this trade posted, or an additional un-itemized adjustment exists for this team. NOT double-counted: the naive formula never included this trade before phase 3A."
CJ,136.0,264.0,0.0,0.0,0.0,264.0,264,264,0.0,google_sheet_reported_budget_column,RESOLVED,264,264.0,
Coby,126.0,274.0,0.0,0.0,0.0,274.0,274,274,0.0,google_sheet_reported_budget_column,RESOLVED,274,274.0,
Evan,206.0,194.0,0.0,0.0,0.0,194.0,184,184,-10.0,google_sheet_reported_budget_column,UNRESOLVED_GAP,184,194.0,"Sheet-reported budget differs from the pre-trade naive formula ($194) by $-10; no confirmed trade exists for this team to explain it -- logged as an unexplained per-team gap, not distributed across players or hidden in an inflation multiplier."
James,103.0,297.0,0.0,0.0,0.0,297.0,297,297,0.0,google_sheet_reported_budget_column,RESOLVED,297,297.0,
Jason,186.0,214.0,0.0,0.0,0.0,214.0,209,209,-5.0,google_sheet_reported_budget_column,UNRESOLVED_GAP,209,214.0,"Sheet-reported budget differs from the pre-trade naive formula ($214) by $-5; no confirmed trade exists for this team to explain it -- logged as an unexplained per-team gap, not distributed across players or hidden in an inflation multiplier."
Reid,150.0,250.0,0.0,0.0,0.0,250.0,260,260,10.0,google_sheet_reported_budget_column,UNRESOLVED_GAP,260,250.0,"Sheet-reported budget differs from the pre-trade naive formula ($250) by $+10; no confirmed trade exists for this team to explain it -- logged as an unexplained per-team gap, not distributed across players or hidden in an inflation multiplier."
Ryan J,136.0,264.0,0.0,0.0,0.0,264.0,257,257,-7.0,google_sheet_reported_budget_column,UNRESOLVED_GAP,257,264.0,"Sheet-reported budget differs from the pre-trade naive formula ($264) by $-7; no confirmed trade exists for this team to explain it -- logged as an unexplained per-team gap, not distributed across players or hidden in an inflation multiplier."
Sam,162.0,238.0,15.0,0.0,2.0,223.0,225,223,2.0,USER_CONFIRMED_TRADE,EXPLAINED_OVERRIDE,225,223.0,"Authoritative budget set by explicit user confirmation (USER_CONFIRMED_TRADE), not derived from the sheet: 400 - $162 keeper_spend - $15 cash_sent = $223 exactly. Sheet's $225 is a $2 discrepancy, preserved here, NOT overwritten. Conversion scenario: $223 - $1 (Mendoza) - $1 (Bond) = $221 (conversion_fees column shows this $2, applied only in that scenario, not in calculated_budget above)."
Shane,76.0,324.0,0.0,0.0,0.0,324.0,324,324,0.0,google_sheet_reported_budget_column,RESOLVED,324,324.0,
Travis,113.0,287.0,0.0,0.0,0.0,287.0,264,264,-23.0,google_sheet_reported_budget_column,UNRESOLVED_GAP,264,287.0,"Sheet-reported budget differs from the pre-trade naive formula ($287) by $-23; no confirmed trade exists for this team to explain it -- logged as an unexplained per-team gap, not distributed across players or hidden in an inflation multiplier."
