team,player,salary_2025,acquisition_origin,evidence,is_dollar_one,notes
Sam,CJ Stroud,16.0,UNKNOWN_NON_DOLLAR_ONE,"$16 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Sam,Jaxson Dart,1.0,UNKNOWN_DOLLAR_ONE,"$1 salary -- ambiguous: a genuine uncontested competitive-auction winner also sells for $1 in this league's own rules, so this is NOT evidence of an administrative assignment by itself, but there is also no positive evidence it WAS a competitive bid rather than a post-auction add.",True,
Sam,JJ McCarthy,1.0,UNKNOWN_DOLLAR_ONE,"$1 salary -- ambiguous: a genuine uncontested competitive-auction winner also sells for $1 in this league's own rules, so this is NOT evidence of an administrative assignment by itself, but there is also no positive evidence it WAS a competitive bid rather than a post-auction add.",True,
Brandon,Josh Allen,64.0,UNKNOWN_NON_DOLLAR_ONE,"$64 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Coby,Kyler Murray,16.0,UNKNOWN_NON_DOLLAR_ONE,"$16 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,on IR
Coby,Bo Nix,nan,UNKNOWN,"no salary_2025 value at all -- could be a late add, a data gap, or an admin placeholder; no evidence either way",False,no salary on record
Coby,Jacoby Brissett,nan,UNKNOWN,"no salary_2025 value at all -- could be a late add, a data gap, or an admin placeholder; no evidence either way",False,no salary on record
Brad,Patrick Mahomes,36.0,UNKNOWN_NON_DOLLAR_ONE,"$36 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Reid,Jordan Love,17.0,UNKNOWN_NON_DOLLAR_ONE,"$17 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Reid,Drake Maye,20.0,UNKNOWN_NON_DOLLAR_ONE,"$20 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Evan,Lamar Jackson,63.0,UNKNOWN_NON_DOLLAR_ONE,"$63 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Evan,Matthew Stafford,1.0,UNKNOWN_DOLLAR_ONE,"$1 salary -- ambiguous: a genuine uncontested competitive-auction winner also sells for $1 in this league's own rules, so this is NOT evidence of an administrative assignment by itself, but there is also no positive evidence it WAS a competitive bid rather than a post-auction add.",True,
James,Jayden Daniels,26.0,KEEPER,is_tagged_2025=True (franchise tag salary escalation confirmed by delta rule),False,tagged 2025
James,Trevor Lawrence,1.0,UNKNOWN_DOLLAR_ONE,"$1 salary -- ambiguous: a genuine uncontested competitive-auction winner also sells for $1 in this league's own rules, so this is NOT evidence of an administrative assignment by itself, but there is also no positive evidence it WAS a competitive bid rather than a post-auction add.",True,
Ryan J,Brock Purdy,5.0,UNKNOWN_NON_DOLLAR_ONE,"$5 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Ryan J,Daniel Jones,1.0,UNKNOWN_DOLLAR_ONE,"$1 salary -- ambiguous: a genuine uncontested competitive-auction winner also sells for $1 in this league's own rules, so this is NOT evidence of an administrative assignment by itself, but there is also no positive evidence it WAS a competitive bid rather than a post-auction add.",True,
CJ,Jalen Hurts,57.0,UNKNOWN_NON_DOLLAR_ONE,"$57 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
CJ,Justin Herbert,4.0,UNKNOWN_NON_DOLLAR_ONE,"$4 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Jason,Joe Burrow,69.0,UNKNOWN_NON_DOLLAR_ONE,"$69 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Jason,Dak Prescott,8.0,UNKNOWN_NON_DOLLAR_ONE,"$8 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Shane,Caleb Williams,11.0,UNKNOWN_NON_DOLLAR_ONE,"$11 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Travis,Baker Mayfield,11.0,UNKNOWN_NON_DOLLAR_ONE,"$11 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
Travis,Jared Goff,27.0,UNKNOWN_NON_DOLLAR_ONE,"$27 salary, no keeper-escalation marker -- plausibly consistent with a competitive auction result (an unadorned dollar salary in a keeper league is usually last season's paid price), but NOT independently confirmed by any acquisition-method record in this repo.",False,
