experiment,top_12_share,top_24_share,maximum_price,median_top_12_price,QB_spend_share,RB_spend_share,WR_spend_share,TE_spend_share,total_spending_per_auction,one_dollar_sale_rate,average_bidder_count,average_sale_to_base_value_ratio,average_top_12_sale_to_base_value_ratio,notes
15_current_unequal_budgets_baseline,0.5761,0.7798,290.0,134.55,0.0391,0.648,0.2846,0.0283,2894.98,0.2046,5.79,0.834,1.875,"Current production config, unmodified."
1_all_archetype_multipliers_one,0.3562,0.5808,126.0,70.36,0.0689,0.5367,0.3362,0.0581,2453.92,0.1022,8.16,1.047,1.032,"tier_aggression=1.0, tilt_boost=1.0, noise_std=0, jump_bid_prob=0, max_stars=0, position_targets={} for every archetype simultaneously."
2_no_early_draft_premium,0.5578,0.742,253.72,120.0,0.0419,0.6212,0.3023,0.0346,2754.5,0.187,5.93,0.876,1.74,cfg.EARLY_DRAFT_PREMIUM_MAX = 0.0
3_no_tier_aggression,0.5657,0.7693,289.0,120.0,0.0391,0.6419,0.2877,0.0313,2866.87,0.1886,5.87,0.835,1.816,Every archetype's tier_aggression = 1.0
4_no_star_multiplier,0.381,0.6005,146.68,79.01,0.0666,0.5341,0.3417,0.0576,2674.98,0.092,7.86,1.205,1.248,Every archetype's max_stars = 0 (removes the star-ceiling override)
5_strict_value_ceiling_everywhere,0.4264,0.6878,177.0,98.49,0.0486,0.5858,0.3303,0.0353,2911.09,0.3343,6.0,0.867,1.328,"Every archetype's strict_value_ceiling = True -- no star override, no early-draft premium applies (both are already skipped for strict_value_ceiling archetypes), private_val never exceeded."
6_no_position_run_pressure,0.5719,0.7778,290.0,126.35,0.0337,0.6476,0.2922,0.0265,2900.46,0.1907,5.88,0.844,1.889,nomination.W_POSITION_RUN = 0.0
7_no_emotional_noise,0.5753,0.7793,291.0,123.14,0.0404,0.6355,0.2955,0.0285,2895.06,0.2123,5.77,0.821,1.87,Every archetype's noise_std = 0.0 (private_val = base_value exactly)
8_no_nomination_value_pull,0.8696,0.9027,237.5,37.23,0.0264,0.6524,0.2852,0.0361,920.35,0.8216,1.93,1.67,1.815,nomination.W_VALUE = 0.0
9_winner_pays_second_highest_plus_one,0.5767,0.7804,289.0,134.55,0.0391,0.6483,0.2846,0.0281,2882.92,0.2046,5.79,0.83,1.869,"Post-hoc repricing of the SAME baseline logs: price = min(actual sale_price, second_highest_bid+1). Since this is already an ascending $1-increment auction, actual sale_price is usually already very close to this -- if concentration barely changes, the pricing RULE is not the driver."
10_winner_pays_own_highest_willingness_SAME_AS_BASELINE,0.5761,0.7798,290.0,134.55,0.0391,0.648,0.2846,0.0283,2894.98,0.2046,5.79,0.834,1.875,"Identical to baseline: resolve_bid already caps the winning price at the winner's own willingness (max_can_pay) by construction -- there is no separate 'overpay beyond own willingness' mechanic to remove. Reported for completeness, not a distinct rerun."
11_shared_base_values_only,0.3727,0.6232,126.0,73.5,0.0591,0.5612,0.329,0.0508,2610.77,0.1667,7.28,0.967,1.0,"compute_willingness replaced entirely: willingness = player.base_value, no noise, no star/tier/early-draft/position adjustments at all."
12_public_anchors_only,0.3455,0.5123,125.04,47.83,0.1888,0.3599,0.3614,0.0899,1888.97,0.0895,8.13,2.009,1.146,"compute_willingness replaced entirely: willingness = phase 3B's PUBLIC_RANK_TIER normalized price for that player, identical across every team (no noise, no behavioral adjustments)."
13_marginal_utility_only_CRUDE_PROXY,0.6519,0.9324,234.4,160.4,0.0345,0.6719,0.2842,0.0094,3021.0,0.5963,3.97,0.658,2.387,"compute_willingness replaced entirely: willingness = partial_lineup_value(roster+player) - partial_lineup_value(roster), using a CRUDE, explicitly-labeled 1-utility-point=$1 conversion (not a calibrated dollar rate) -- directional finding only, not a precise dollar comparison."
14_equal_budgets,0.574,0.7829,243.75,120.39,0.0387,0.6468,0.2873,0.0273,2891.82,0.2478,5.43,0.817,1.882,Every team's starting budget set to the league average ($251.75).
